mem_point_,TMRoads_os,TMRoads_fc,lng,lat
336,143564106,primary,113.26232446000,30.51899978110
337,143564106,primary,113.26271325300,30.51868544560
338,143564106,primary,113.26310982300,30.51838092610
339,143564106,primary,113.26350639500,30.51807640760
340,143564106,primary,113.26390296500,30.51777188910
341,143564106,primary,113.26429958600,30.51746743620
342,143564106,primary,113.26470071000,30.51716894040
343,143564106,primary,113.26510183300,30.51687044550
344,143564106,primary,113.26550295800,30.51657194970
345,143564106,primary,113.26590408200,30.51627345490
346,143564106,primary,113.26631558600,30.51598957850
347,143564106,primary,113.26672961400,30.51570925530
348,143564106,primary,113.26714364300,30.51542893210
349,143564106,primary,113.26755767000,30.51514860890
350,143564106,primary,113.26797169800,30.51486828570
351,143564106,primary,113.26838572500,30.51458796260
352,143564106,primary,113.26880564000,30.51431665330
353,143564106,primary,113.26922874800,30.51405023270
354,143564106,primary,113.26965185400,30.51378381130
355,143564106,primary,113.27007496200,30.51351738980
356,143564106,primary,113.27049806900,30.51325096840
357,143564106,primary,113.27093197600,30.51300254050
358,143564106,primary,113.27136608400,30.51275444730
359,143564106,primary,113.27180019200,30.51250635400
360,143564106,primary,113.27223430000,30.51225826070
361,143564106,primary,113.27266840800,30.51201016830
362,143564106,primary,113.27311390800,30.51178320550
363,143564106,primary,113.27355975700,30.51155689020
364,143564106,primary,113.27400560600,30.51133057400
365,143564106,primary,113.27445145500,30.51110425880
366,143564106,primary,113.27489730400,30.51087794350
367,143564106,primary,113.27534315300,30.51065162820
368,143564106,primary,113.27578900200,30.51042531200
369,143564106,primary,113.27623485000,30.51019899670
370,143564106,primary,113.27669086900,30.50999403760
371,143564106,primary,113.27714759800,30.50979057230
372,143564106,primary,113.27760432800,30.50958710700
373,143564106,primary,113.27806105700,30.50938364160
374,143564106,primary,113.27852022600,30.50918592930
375,143564106,primary,113.27898404100,30.50899917970
376,143564106,primary,113.27944785700,30.50881243000
377,143564106,primary,113.27991167200,30.50862568040
378,143564106,primary,113.28037548700,30.50843893170
379,143564106,primary,113.28083930200,30.50825218210
380,143564106,primary,113.28130311700,30.50806543250
381,143564106,primary,113.28177531600,30.50790111820
382,143564106,primary,113.28224794500,30.50773795780
383,143564106,primary,113.28272057500,30.50757479650
384,143564106,primary,113.28319320500,30.50741163610
385,143564106,primary,113.28366793700,30.50725477100
386,143564106,primary,113.28414372000,30.50710104810
387,143564106,primary,113.28461950300,30.50694732610
388,143564106,primary,113.28509528600,30.50679360310
389,143564106,primary,113.28557106900,30.50663988110
390,143564106,primary,113.28604803900,30.50649006220
391,143564106,primary,113.28652888400,30.50635299110
392,143564106,primary,113.28700972800,30.50621592000
393,143564106,primary,113.28749057300,30.50607884900
394,143564106,primary,113.28797169500,30.50594277340
395,143564106,primary,113.28845414100,30.50581145530
396,143564106,primary,113.28893658900,30.50568013720
397,143564106,primary,113.28941903700,30.50554881910
398,143564106,primary,113.28990148400,30.50541750100
399,143564106,primary,113.29038393200,30.50528618290
400,143564106,primary,113.29086619900,30.50515420740
401,143564106,primary,113.29134826700,30.50502150070
402,143564106,primary,113.29183033400,30.50488879500
403,143564106,primary,113.29231240100,30.50475608830
404,143564106,primary,113.29279446900,30.50462338170
405,143564106,primary,113.29327653600,30.50449067590
406,143564106,primary,113.29375860400,30.50435796920
407,143564106,primary,113.29424067100,30.50422526260
408,143564106,primary,113.29472273900,30.50409255680
409,143564106,primary,113.29520496400,30.50396043290
410,143564106,primary,113.29568808700,30.50383162210
411,143564106,primary,113.29617121000,30.50370281130
412,143564106,primary,113.29665433300,30.50357399960
413,143564106,primary,113.29713745600,30.50344518880
414,143564106,primary,113.29762057900,30.50331637800
415,143564106,primary,113.29810370200,30.50318756730
416,143564106,primary,113.29858647000,30.50305743720
417,143564106,primary,113.29906909700,30.50292677910
418,143564106,primary,113.29955172300,30.50279612200
419,143564106,primary,113.30003435100,30.50266546490
420,143564106,primary,113.30051697700,30.50253480780
421,143564106,primary,113.30099960000,30.50240413630
422,143564106,primary,113.30148221300,30.50227342710
423,143564106,primary,113.30196482600,30.50214271870
424,143564106,primary,113.30244743900,30.50201200940
425,143564106,primary,113.30293005200,30.50188130020
426,143564106,primary,113.30341266400,30.50175059090
427,143564106,primary,113.30389527700,30.50161988170
428,143564106,primary,113.30437789000,30.50148917240
429,143564106,primary,113.30485907800,30.50135335590
430,143564106,primary,113.30533964700,30.50121532160
431,143564106,primary,113.30582021600,30.50107728830
432,143564106,primary,113.30630078500,30.50093925400
433,143564106,primary,113.30678135300,30.50080121980
434,143564106,primary,113.30726021500,30.50065737320
435,143564106,primary,113.30773906000,30.50051347450
436,143564106,primary,113.30821790600,30.50036957580
437,143564106,primary,113.30869254800,30.50021254880
438,143564106,primary,113.30916591600,30.50005154310
439,143564106,primary,113.30963928400,30.49989053660
440,143564106,primary,113.31011265100,30.49972953010
441,143564106,primary,113.31058536500,30.49956667910
442,143564106,primary,113.31105455400,30.49939387340
443,143564106,primary,113.31152374300,30.49922106780
444,143564106,primary,113.31199293200,30.49904826220
445,143564106,primary,113.31246212100,30.49887545650
446,143564106,primary,113.31293131000,30.49870265090
447,143564106,primary,113.31339893700,30.49852575970
448,143564106,primary,113.31386374700,30.49834150030
449,143564106,primary,113.31432855700,30.49815724090
450,143564106,primary,113.31479336700,30.49797298150
451,143564106,primary,113.31525817700,30.49778872210
452,143564106,primary,113.31572298800,30.49760446270
453,143564106,primary,113.31618779800,30.49742020330
454,143564106,primary,113.31664601100,30.49722011850
455,143564106,primary,113.31710407000,30.49701966500
456,143564106,primary,113.31756212900,30.49681921150
457,143564106,primary,113.31802018900,30.49661875800
458,143564106,primary,113.31847824800,30.49641830460
459,143564106,primary,113.31893630800,30.49621785020
460,143564106,primary,113.31939436700,30.49601739670
461,143564106,primary,113.31985242700,30.49581694320
462,143564106,primary,113.32031048500,30.49561648970
463,143564106,primary,113.32076854500,30.49541603620
464,143564106,primary,113.32122660400,30.49521558270
465,143564106,primary,113.32168466700,30.49501513640
466,143564106,primary,113.32214272900,30.49481468920
467,143564106,primary,113.32260079200,30.49461424300
468,143564106,primary,113.32305885400,30.49441379670
469,143564106,primary,113.32351691700,30.49421334950
470,143564106,primary,113.32397497900,30.49401290320
471,143564106,primary,113.32443304100,30.49381245690
472,143564106,primary,113.32489110300,30.49361200970
473,143564106,primary,113.32534916600,30.49341156340
474,143564106,primary,113.32580723400,30.49321113060
475,143564106,primary,113.32626541500,30.49301095500
476,143564106,primary,113.32672359600,30.49281077850
477,143564106,primary,113.32718177600,30.49261060290
478,143564106,primary,113.32763995700,30.49241042640
479,143564106,primary,113.32809813800,30.49221025080
480,143564106,primary,113.32855631900,30.49201007520
481,143564106,primary,113.32901449900,30.49180989870
482,143564106,primary,113.32947270100,30.49160977080
483,143564106,primary,113.32993097100,30.49140980020
484,143564106,primary,113.33038924200,30.49120982880
485,143564106,primary,113.33084751200,30.49100985820
486,143564106,primary,113.33130578200,30.49080988770
487,143564106,primary,113.33176405200,30.49060991710
488,143564106,primary,113.33222232300,30.49040994570
489,143564106,primary,113.33268059400,30.49020997510
490,143564106,primary,113.33313886400,30.49001000460
491,143564106,primary,113.33359771900,30.48981138120
492,143564106,primary,113.33405691500,30.48961354650
493,143564106,primary,113.33451611200,30.48941571190
494,143564106,primary,113.33497530800,30.48921787720
495,143564106,primary,113.33543450500,30.48902004250
496,143564106,primary,113.33589351200,30.48882178340
497,143564106,primary,113.33634701200,30.48861121970
498,143564106,primary,113.33680051200,30.48840065520
499,143564106,primary,113.33725401200,30.48819009060
500,143564106,primary,113.33770475300,30.48797384590
501,143564106,primary,113.33815059500,30.48774751620
502,143564106,primary,113.33859643700,30.48752118750
503,143564106,primary,113.33904227900,30.48729485780
504,143564106,primary,113.33948812200,30.48706852900
505,143564106,primary,113.33993396300,30.48684219930
506,143564106,primary,113.34037701800,30.48661048720
507,143564106,primary,113.34081917400,30.48637703850
508,143564106,primary,113.34126132900,30.48614358980
509,143564106,primary,113.34170348500,30.48591014100
510,143564106,primary,113.34214418600,30.48567406900
511,143564106,primary,113.34257625900,30.48542244770
512,143564106,primary,113.34300833100,30.48517082730
513,143564106,primary,113.34344040400,30.48491920600
514,143564106,primary,113.34386930800,30.48466229480
515,143564106,primary,113.34429511000,30.48440020090
516,143564106,primary,113.34472091100,30.48413810790
517,143564106,primary,113.34514671300,30.48387601400
518,143564106,primary,113.34557251500,30.48361392000
519,143564106,primary,113.34598780700,30.48333554750
520,143564106,primary,113.34640195600,30.48305540330
521,143564106,primary,113.34681610500,30.48277525910
522,143564106,primary,113.34723025400,30.48249511580
523,143564106,primary,113.34764172900,30.48221109010
524,143564106,primary,113.34805102000,30.48192389610
525,143564106,primary,113.34846031200,30.48163670300
526,143564106,primary,113.34886960400,30.48134950900
527,143564106,primary,113.34927666500,30.48105916640
528,143564106,primary,113.34968338300,30.48076833920
529,143564106,primary,113.35009010100,30.48047751190
530,143564106,primary,113.35049681900,30.48018668470
531,143564106,primary,113.35088767500,30.47987509840
532,143564106,primary,113.35127514400,30.47955907930
533,143564106,primary,113.35166261200,30.47924306020
534,143564106,primary,113.35205006700,30.47892702410
535,143564106,primary,113.35243698700,30.47861033320
536,143564106,primary,113.35282390600,30.47829364140
537,143564106,primary,113.35321082500,30.47797695060
538,143564106,primary,113.35359774400,30.47766025880
539,143564106,primary,113.35397410100,30.47733109980
540,143564106,primary,113.35435003400,30.47700144340
541,143564106,primary,113.35472596800,30.47667178610
542,143564106,primary,113.35510190300,30.47634212970
543,143564106,primary,113.35546991200,30.47600379210
544,143564106,primary,113.35583236800,30.47565937160
545,143564106,primary,113.35619482400,30.47531495100
546,143564106,primary,113.35655728000,30.47497053050
547,143564106,primary,113.35691973700,30.47462610990
548,143564106,primary,113.35727065300,30.47426995860
549,143564106,primary,113.35762099600,30.47391322360
550,143564106,primary,113.35797134000,30.47355648950
551,143564106,primary,113.35832168300,30.47319975550
552,143564106,primary,113.35866812800,30.47283931710
553,143564106,primary,113.35900633200,30.47247105370
554,143564106,primary,113.35934453500,30.47210279030
555,143564106,primary,113.35968274000,30.47173452600
556,143564106,primary,113.36002093700,30.47136625630
557,143564106,primary,113.36035912300,30.47099797680
558,143564106,primary,113.36069730900,30.47062969630
559,143564106,primary,113.36103549500,30.47026141580
560,143564106,primary,113.36137368100,30.46989313630
561,143564106,primary,113.36171186700,30.46952485580
562,143564106,primary,113.36205005300,30.46915657620
563,143564106,primary,113.36238773000,30.46878783080
564,143564106,primary,113.36272410700,30.46841789830
565,143564106,primary,113.36306048500,30.46804796480
566,143564106,primary,113.36339686200,30.46767803230
567,143564106,primary,113.36373323900,30.46730809890
568,143564106,primary,113.36406961600,30.46693816640
569,143564106,primary,113.36440599300,30.46656823290
570,143564106,primary,113.36474450200,30.46620025460
571,143564106,primary,113.36508389300,30.46583308480
572,143564106,primary,113.36542328400,30.46546591500
573,143564106,primary,113.36576267600,30.46509874520
574,143564106,primary,113.36610206600,30.46473157540
575,143564106,primary,113.36643955100,30.46436266000
576,143564106,primary,113.36677557700,30.46399240730
577,143564106,primary,113.36711160200,30.46362215460
578,143564106,primary,113.36744762800,30.46325190200
579,143564106,primary,113.36778365300,30.46288164930
580,143564106,primary,113.36812009200,30.46251177340
581,143564106,primary,113.36845675300,30.46214209900
582,143564106,primary,113.36879341400,30.46177242370
583,143564106,primary,113.36914198500,30.46141428660
584,143564106,primary,113.36950076600,30.46106603950
585,143564106,primary,113.36985897600,30.46071720590
586,143564106,primary,113.37021595300,30.46036711070
587,143564106,primary,113.37057293100,30.46001701450
588,143564106,primary,113.37094310400,30.45968138480
589,143564106,primary,113.37132444900,30.45935800300
590,143564106,primary,113.37170579500,30.45903462120
591,143564106,primary,113.37208741000,30.45871156220
592,143564106,primary,113.37247337200,30.45839370490
593,143564106,primary,113.37285933400,30.45807584760
594,143564106,primary,113.37324636900,30.45775932670
595,143564106,primary,113.37364011500,30.45745116410
596,143564106,primary,113.37403386000,30.45714300060
597,143564106,primary,113.37443121700,30.45683960990
598,143564106,primary,113.37483482000,30.45654447660
599,143564106,primary,113.37523842400,30.45624934250
600,143564106,primary,113.37565354800,30.45597084590
601,143564106,primary,113.37607179600,30.45569685840
602,143564106,primary,113.37649004400,30.45542287190
603,143564106,primary,113.37690831600,30.45514892040
604,143564106,primary,113.37732663100,30.45487503640
